Title_Id,Title,Genre,Duration_Min,Country,Content_Rating,Director,Income_Usd,Votes,Score,Release_Year
tt0087843,Once Upon a Time in America,"Crime, Drama",,USA,R,Sergio Leone,5472914,3023170,8.0,1984
tt0032553,The Great Dictator,"Comedy, Drama, War",,USA,Unknown,Charles Chaplin,969879,1973810,8.0,1945
tt0043014,Sunset Blvd.,"Drama, Film-Noir",,USA,Unknown,Billy Wilder,299645,1957890,8.0,1951
tt0361748,Inglourious Basterds,"Adventure, Drama, War",,Germany,R,Quentin Tarantino,321455689,12299580,8.0,2009
tt0169547,American Beauty,Drama,,USA,R,Sam Mendes,356296601,10490090,8.0,2000
tt0112573,Braveheart,"Biography, Drama, History",,USA,R,Mel Gibson,213216216,9416830,7.9,1995
tt0086190,Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",,USA,PG,Richard Marquand,475347111,9280360,7.9,1983
tt0105236,Reservoir Dogs,"Crime, Drama, Thriller",,USA,R,Quentin Tarantino,2889963,8965510,7.9,1992
tt0338013,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",,USA,R,Michel Gondry,74036715,8898750,7.9,2004
tt0114709,Toy Story,"Animation, Adventure, Comedy",,USA,G,John Lasseter,404265438,8644610,7.9,1996
tt0119217,Good Will Hunting,"Drama, Romance",,USA,R,Gus Van Sant,225933435,8373790,7.8,1998
tt0208092,Snatch,"Comedy, Crime",,UK,R,Guy Ritchie,83557872,7665890,7.8,2001
tt0180093,Requiem for a Dream,Drama,,USA,R,Darren Aronofsky,7390108,7482910,7.8,2000
tt0066921,A Clockwork Orange,"Crime, Drama, Sci-Fi",,UK,Unknown,Stanley Kubrick,26903440,7403010,7.8,1972
tt0435761,Toy Story 3,"Animation, Adventure, Comedy",,USA,G,Lee Unkrich,1066969703,7397170,7.8,2010
tt0086250,Scarface,"Crime, Drama",,USA,R,Brian De Palma,66023585,7213430,7.8,1984
tt0075314,Taxi Driver,"Crime, Drama",,USA,R,Martin Scorsese,28441292,7032640,7.7,1976
tt0211915,Le fabuleux destin d'AmÃ©lie Poulain,"Comedy, Romance",,France,R,Jean-Pierre Jeunet,173924742,6904800,7.7,2002
tt0093058,Full Metal Jacket,"Drama, War",,UK,Unknown,Stanley Kubrick,46357676,6581750,7.7,1987
tt0090605,Aliens,"Action, Adventure, Sci-Fi",,USA,R,James Cameron,131384634,6395000,7.7,1986
tt0062622,2001: A Space Odyssey,"Adventure, Sci-Fi",,UK,G,Stanley Kubrick,68989547,5878660,7.6,1968
tt0033467,Citizen Kane,"Drama, Mystery",,USA,Unknown,Orson Welles,1594107,3893220,7.6,1948
tt8579674,1917,"Drama, War",,USA,Unknown,Sam Mendes,384857224,3628970,7.6,2020
tt0086879,Amadeus,"Biography, Drama, History",,USA,R,Milos Forman,52066791,3610280,7.6,1985
tt0052357,Vertigo,"Mystery, Romance, Thriller",,USA,Unknown,Alfred Hitchcock,7796389,3527860,7.5,1958
tt0053125,North by Northwest,"Adventure, Mystery, Thriller",,USA,Unknown,Alfred Hitchcock,73446,2916280,7.5,1959
tt2106476,Jagten,Drama,,Denmark,R,Thomas Vinterberg,15843274,2696160,7.5,2012
tt0056172,Lawrence of Arabia,"Adventure, Biography, Drama",,UK,PG,David Lean,45710874,2615040,7.5,1963
tt0070735,The Sting,"Comedy, Crime, Drama",,USA,PG,George Roy Hill,156000000,2362850,7.5,1974
tt0082096,Das Boot,"Adventure, Drama, Thriller",,Germany,R,Wolfgang Petersen,11487676,2264270,7.5,1982
tt0059578,Per qualche dollaro in piÃ¹,Western,,Italy,Unknown,Sergio Leone,15000000,2260390,7.4,1965
tt1832382,Jodaeiye Nader az Simin,Drama,,Iran,PG-13,Asghar Farhadi,22926076,2141650,7.4,2011
tt0045152,Singin' in the Rain,"Comedy, Musical, Romance",,USA,Unknown,Stanley Donen,1864182,2131520,7.4,1953
